"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","2,032.34","1,984.33","2,034.54","1,984.33","22.34K","3.26%"
"11/03/2023","1,968.21","1,943.21","1,973.57","1,943.21","15.34K","1.47%"
"11/02/2023","1,939.70","1,964.43","1,973.23","1,939.45","13.31K","-0.99%"
"11/01/2023","1,959.13","1,969.08","1,971.41","1,949.99","13.52K","-0.46%"
"10/31/2023","1,968.23","1,974.80","1,975.39","1,958.40","16.48K","-0.48%"
"10/30/2023","1,977.69","1,933.79","1,983.46","1,931.70","2.20B","2.48%"
"10/27/2023","1,929.91","1,868.23","1,937.27","1,863.53","22.23K","2.88%"
"10/26/2023","1,875.86","1,851.19","1,877.30","1,840.26","20.38K","0.65%"
"10/25/2023","1,863.80","1,890.48","1,894.54","1,863.77","16.96K","-0.90%"
"10/24/2023","1,880.81","1,872.29","1,890.10","1,859.86","1.68B","0.85%"
"10/23/2023","1,864.91","1,891.48","1,891.48","1,854.45","1.37B","-1.69%"
"10/20/2023","1,896.95","1,899.99","1,922.78","1,893.95","13.08K","-0.88%"
"10/19/2023","1,913.70","1,925.53","1,936.08","1,913.43","13.68K","-1.28%"
"10/18/2023","1,938.44","1,947.65","1,949.84","1,934.84","13.13K","-1.20%"
"10/17/2023","1,961.89","1,963.83","1,969.47","1,950.33","1.37B","0.26%"
"10/16/2023","1,956.72","1,993.91","1,994.26","1,949.33","1.50B","-2.00%"
"10/13/2023","1,996.60","2,004.20","2,005.72","1,986.19","1.78B","-1.11%"
"10/12/2023","2,019.10","2,015.55","2,022.36","2,001.91","16.27K","0.76%"
"10/11/2023","2,003.90","2,000.52","2,021.11","1,996.82","17.29K","0.80%"
"10/10/2023","1,987.94","2,004.95","2,014.30","1,987.35","1.38B","-0.53%"
"10/09/2023","1,998.61","2,000.13","2,006.43","1,977.77","1.75B","-0.26%"
"09/28/2023","2,003.91","2,013.62","2,019.29","1,995.56","1.27B","-0.12%"
"09/27/2023","2,006.22","1,994.01","2,027.82","1,990.16","1.27B","0.82%"
