"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","10,071.56","9,922.45","10,080.00","9,922.45","159.24K","2.21%"
"11/03/2023","9,853.89","9,747.82","9,876.45","9,747.82","114.06K","1.22%"
"11/02/2023","9,734.77","9,842.56","9,878.96","9,733.39","99.92K","-0.94%"
"11/01/2023","9,826.73","9,897.93","9,901.37","9,808.65","103.40K","-0.38%"
"10/31/2023","9,863.80","9,924.72","9,927.45","9,814.98","116.26K","-0.65%"
"10/30/2023","9,927.99","9,759.22","9,952.43","9,759.17","14.39B","1.61%"
"10/27/2023","9,770.84","9,535.65","9,805.62","9,513.32","133.75K","2.14%"
"10/26/2023","9,566.10","9,470.49","9,570.94","9,433.81","116.92K","0.40%"
"10/25/2023","9,528.31","9,573.67","9,617.47","9,524.82","123.88K","0.47%"
"10/24/2023","9,483.90","9,458.33","9,523.90","9,380.79","11.69B","0.61%"
"10/23/2023","9,425.98","9,552.55","9,552.55","9,373.76","10.74B","-1.51%"
"10/20/2023","9,570.36","9,605.29","9,665.53","9,555.08","100.89K","-0.88%"
"10/19/2023","9,655.09","9,757.19","9,784.53","9,654.97","110.11K","-1.65%"
"10/18/2023","9,816.68","9,914.02","9,914.02","9,809.37","101.02K","-1.24%"
"10/17/2023","9,940.22","9,944.68","9,958.98","9,888.09","9.19B","0.15%"
"10/16/2023","9,924.92","10,065.07","10,065.97","9,889.66","10.53B","-1.42%"
"10/13/2023","10,068.28","10,110.38","10,110.38","10,028.74","10.52B","-0.99%"
"10/12/2023","10,168.49","10,145.49","10,174.23","10,097.21","115.89K","0.83%"
"10/11/2023","10,084.89","10,122.71","10,163.49","10,058.36","101.63K","0.35%"
"10/10/2023","10,050.04","10,133.02","10,159.47","10,044.67","9.06B","-0.56%"
"10/09/2023","10,106.96","10,095.71","10,139.49","9,991.17","9.98B","-0.03%"
"09/28/2023","10,109.53","10,131.66","10,155.03","10,085.09","8.90B","0.05%"
"09/27/2023","10,104.32","10,057.99","10,185.02","10,057.17","8.62B","0.44%"
"09/26/2023","10,060.15","10,110.06","10,146.89","10,060.15","75.30K","-0.60%"
"09/25/2023","10,120.62","10,181.18","10,181.18","10,105.21","89.68K","-0.57%"
"09/22/2023","10,178.74","9,975.37","10,183.39","9,962.94","101.38K","1.97%"
"09/21/2023","9,981.67","10,050.48","10,087.03","9,981.52","7.39B","-0.90%"
"09/20/2023","10,072.46","10,110.41","10,123.69","10,072.46","71.15K","-0.53%"
"09/19/2023","10,125.73","10,185.07","10,185.07","10,082.89","74.25K","-0.73%"
"09/18/2023","10,200.04","10,111.67","10,252.71","10,094.35","81.32K","0.55%"
"09/15/2023","10,144.59","10,213.61","10,241.88","10,115.43","82.85K","-0.52%"
"09/14/2023","10,197.59","10,243.25","10,252.02","10,154.64","7.48B","-0.57%"
"09/13/2023","10,255.87","10,351.79","10,373.15","10,200.89","80.84K","-1.14%"
"09/12/2023","10,373.99","10,376.16","10,421.56","10,356.29","83.34K","-0.08%"
"09/11/2023","10,382.38","10,290.81","10,443.00","10,256.23","105.75K","0.98%"
"09/08/2023","10,281.88","10,284.48","10,319.84","10,233.71","75.23K","-0.38%"
