"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","3,058.41","3,047.13","3,058.99","3,037.69","37.30B","0.91%"
"11/03/2023","3,030.80","3,012.47","3,040.98","3,012.47","26.85B","0.71%"
"11/02/2023","3,009.41","3,028.66","3,038.64","3,009.12","26.88B","-0.45%"
"11/01/2023","3,023.08","3,038.18","3,038.33","3,013.93","28.01B","0.14%"
"10/31/2023","3,018.77","3,019.65","3,023.00","3,006.61","31.99B","-0.09%"
"10/30/2023","3,021.55","3,009.61","3,028.26","3,002.35","36.06B","0.12%"
"10/27/2023","3,017.78","2,978.40","3,029.21","2,974.88","32.18B","0.99%"
"10/26/2023","2,988.30","2,960.10","2,990.33","2,956.01","29.18B","0.48%"
"10/25/2023","2,974.11","2,986.41","2,993.30","2,972.42","33.24B","0.40%"
"10/24/2023","2,962.24","2,944.31","2,964.76","2,929.09","31.10B","0.78%"
"10/23/2023","2,939.29","2,969.79","2,973.66","2,923.51","27.89B","-1.47%"
"10/20/2023","2,983.06","2,995.36","3,006.27","2,977.17","26.71B","-0.74%"
"10/19/2023","3,005.39","3,043.20","3,043.20","3,004.77","30.40B","-1.74%"
"10/18/2023","3,058.71","3,076.58","3,076.58","3,057.06","26.86B","-0.80%"
"10/17/2023","3,083.50","3,076.43","3,084.07","3,064.89","25.90B","0.32%"
"10/16/2023","3,073.81","3,091.06","3,091.13","3,063.69","26.39B","-0.46%"
"10/13/2023","3,088.10","3,092.00","3,094.92","3,080.55","25.51B","-0.64%"
"10/12/2023","3,107.90","3,101.71","3,109.99","3,092.18","27.48B","0.94%"
"10/11/2023","3,078.96","3,085.70","3,095.66","3,071.94","25.99B","0.12%"
"10/10/2023","3,075.24","3,104.36","3,109.98","3,073.19","25.53B","-0.70%"
"10/09/2023","3,096.92","3,100.00","3,103.36","3,072.64","26.44B","-0.44%"
"09/28/2023","3,110.48","3,117.75","3,121.84","3,105.94","23.63B","0.10%"
"09/27/2023","3,107.32","3,104.04","3,125.45","3,103.84","24.05B","0.16%"
"09/26/2023","3,102.27","3,114.02","3,120.29","3,102.27","22.26B","-0.43%"
"09/25/2023","3,115.61","3,131.21","3,131.21","3,112.15","25.81B","-0.54%"
"09/22/2023","3,132.43","3,084.76","3,132.56","3,078.80","28.60B","1.55%"
"09/21/2023","3,084.70","3,103.18","3,113.49","3,084.70","22.87B","-0.77%"
"09/20/2023","3,108.57","3,118.67","3,122.13","3,108.16","22.81B","-0.52%"
"09/19/2023","3,124.96","3,123.99","3,131.13","3,113.53","25.37B","-0.03%"
"09/18/2023","3,125.93","3,110.44","3,128.70","3,098.50","25.94B","0.26%"
"09/15/2023","3,117.74","3,133.59","3,141.96","3,107.45","29.20B","-0.28%"
"09/14/2023","3,126.55","3,124.85","3,135.02","3,111.86","26.40B","0.11%"
"09/13/2023","3,123.07","3,137.77","3,143.76","3,106.97","24.97B","-0.45%"
"09/12/2023","3,137.06","3,140.34","3,147.51","3,134.32","23.47B","-0.18%"
"09/11/2023","3,142.78","3,119.61","3,155.10","3,113.82","29.04B","0.84%"
"09/08/2023","3,116.72","3,114.23","3,126.04","3,104.67","22.81B","-0.18%"
"09/07/2023","3,122.35","3,152.20","3,152.27","3,120.82","26.93B","-1.13%"
